Episode: 1, Event: hole, Total Score: -29, Epsilon: 0.9950
Episode: 2, Event: hole, Total Score: -42, Epsilon: 0.9900
Episode: 3, Event: hole, Total Score: -31, Epsilon: 0.9851
Episode: 4, Event: hole, Total Score: -29, Epsilon: 0.9801
Episode: 5, Event: hole, Total Score: -40, Epsilon: 0.9752
Episode: 6, Event: hole, Total Score: -33, Epsilon: 0.9704
Episode: 7, Event: hole, Total Score: -27, Epsilon: 0.9655
Episode: 8, Event: hole, Total Score: -27, Epsilon: 0.9607
Episode: 9, Event: hole, Total Score: -32, Epsilon: 0.9559
Episode: 10, Event: hole, Total Score: -27, Epsilon: 0.9511
Episode: 11, Event: hole, Total Score: -35, Epsilon: 0.9464
Episode: 12, Event: hole, Total Score: -33, Epsilon: 0.9416
Episode: 13, Event: hole, Total Score: -29, Epsilon: 0.9369
Episode: 14, Event: hole, Total Score: -27, Epsilon: 0.9322
Episode: 15, Event: hole, Total Score: -33, Epsilon: 0.9276
Episode: 16, Event: hole, Total Score: -27, Epsilon: 0.9229
Episode: 17, Event: hole, Total Score: -29, Epsilon: 0.9183
Episode: 18, Event: hole, Total Score: -32, Epsilon: 0.9137
Episode: 19, Event: hole, Total Score: -29, Epsilon: 0.9092
Episode: 20, Event: hole, Total Score: -30, Epsilon: 0.9046
Episode: 21, Event: hole, Total Score: -37, Epsilon: 0.9001
Episode: 22, Event: hole, Total Score: -29, Epsilon: 0.8956
Episode: 23, Event: hole, Total Score: -29, Epsilon: 0.8911
Episode: 24, Event: hole, Total Score: -31, Epsilon: 0.8867
Episode: 25, Event: hole, Total Score: -34, Epsilon: 0.8822
Episode: 26, Event: hole, Total Score: -38, Epsilon: 0.8778
Episode: 27, Event: hole, Total Score: -39, Epsilon: 0.8734
Episode: 28, Event: hole, Total Score: -42, Epsilon: 0.8691
Episode: 29, Event: hole, Total Score: -27, Epsilon: 0.8647
Episode: 30, Event: hole, Total Score: -27, Epsilon: 0.8604
Episode: 31, Event: hole, Total Score: -31, Epsilon: 0.8561
Episode: 32, Event: hole, Total Score: -29, Epsilon: 0.8518
Episode: 33, Event: hole, Total Score: -31, Epsilon: 0.8475
Episode: 34, Event: hole, Total Score: -33, Epsilon: 0.8433
Episode: 35, Event: hole, Total Score: -33, Epsilon: 0.8391
Episode: 36, Event: hole, Total Score: -36, Epsilon: 0.8349
Episode: 37, Event: hole, Total Score: -35, Epsilon: 0.8307
Episode: 38, Event: hole, Total Score: -27, Epsilon: 0.8266
Episode: 39, Event: hole, Total Score: -30, Epsilon: 0.8224
Episode: 40, Event: hole, Total Score: -27, Epsilon: 0.8183
Episode: 41, Event: hole, Total Score: -27, Epsilon: 0.8142
Episode: 42, Event: hole, Total Score: -27, Epsilon: 0.8102
Episode: 43, Event: hole, Total Score: -31, Epsilon: 0.8061
Episode: 44, Event: hole, Total Score: -35, Epsilon: 0.8021
Episode: 45, Event: hole, Total Score: -34, Epsilon: 0.7981
Episode: 46, Event: hole, Total Score: -37, Epsilon: 0.7941
Episode: 47, Event: hole, Total Score: -27, Epsilon: 0.7901
Episode: 48, Event: hole, Total Score: -30, Epsilon: 0.7862
Episode: 49, Event: hole, Total Score: -31, Epsilon: 0.7822
Episode: 50, Event: hole, Total Score: -27, Epsilon: 0.7783
